,Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue,hourly,employer_provided,min_salary,max_salary,avg_salary,job_state,age,python_yn,R_yn,spark,aws,excel,job_simp,seniority,desc_len
0,Data Scientist,$80K - $123K (Glassdoor est.),"Import and analysis of data to estimate targets associated with disability, mortality, and longevity (and their drivers).…
Skills: R, English, Survival analysis, SQL, Statistical analysis",3.2,PartnerRe,"Charlotte, NC",1001 to 5000 Employees,--,Company - Public,Insurance Carriers,Insurance,Unknown / Non-Applicable,0,0,80,123,101.5,Charlotte,-1,0,0,0,0,0,data scientist,na,187
1,Data Scientist I,$80K - $92K (Employer est.),"Expert knowledge of core data science concepts and tools. Applicants are considered for positions without regard to veteran status, uniformed service member……",2.7,Vibrant Emotional Health,Remote,201 to 500 Employees,--,Nonprofit Organization,Civic & Social Services,Nonprofit & NGO,$5 to $25 million (USD),0,0,80,92,86.0,Remote,-1,0,0,0,0,0,data scientist,na,158
2,Data Scientist,$110K - $140K (Employer est.),"Utilize machine learning tools to find patterns and subsequently develop prediction tools to be employed. Directly support the Product team through steering……
Skills: Power BI, SQL, Machine learning, UX, UI",3.6,BrandSafway,"Atlanta, GA",10000+ Employees,2017,Company - Private,Construction,"Construction, Repair & Maintenance Services",$5 to $10 billion (USD),0,0,110,140,125.0,Atlanta,3,0,0,0,0,0,data scientist,na,206
3,Data Scientist 1,$82K - $127K (Glassdoor est.),"The Data Sciences & Machine Intelligence group in the Advanced Computing, Mathematics, and Data Division at PNNL seeks a multifaceted Data Scientist to join the……
Skills: CI/CD, Data modeling, Node.js, CSS, React",4.2,Pacific Northwest National Laboratory,"Richland, WA",5001 to 10000 Employees,1965,Company - Private,Energy & Utilities,"Energy, Mining & Utilities",$1 to $5 billion (USD),0,0,82,127,104.5,Richland,55,0,0,0,0,0,data scientist,na,212
4,Data Scientist,$60.00 - $70.00 Per Hour (Employer est.),"Provide SME guidance for data science teams on software engineering principles, model deployments, platform capabilities. Big data: 5 years (Required).…
Skills: Azure, Big data, DevOps, Google Cloud Platform, Machine learning",-1.0,Ideal Source Inc,"Charlotte, NC",-1,-1,-1,-1,-1,-1,1,0,120,140,65.0,Charlotte,-1,0,0,0,0,0,data scientist,na,225
5,Data Scientist,$81K - $137K (Glassdoor est.),"Exhibits proficiency in business management and a proven record of applying innovative solutions, design thinking, disruptive innovation, process management……
Skills: Jira, Power BI, Data modeling, Microsoft Access, Data mining",4.9,AMSG,"Fort Eustis, VA",Unknown,2008,Company - Private,Information Technology Support Services,Information Technology,Unknown / Non-Applicable,0,0,81,137,109.0,Fort Eustis,12,0,0,0,0,0,data scientist,na,227
6,Data Scientist,$63K - $98K (Employer est.),"Bachelor's Degree in Computer Science, Mathematics, or appropriate field may be substituted for one (1) year of experience.…
Skills: Statistics, Computer science, Data structures, Analysis skills, Math",3.0,CTC Group,"Fort Meade, MD",Unknown,--,Company - Private,--,--,Unknown / Non-Applicable,0,0,63,98,80.5,Fort Meade,-1,0,0,0,0,0,data scientist,na,201
7,Data Scientist BAH2197,$91K - $134K (Glassdoor est.),"Demonstrated experience collaborating with sponsor staff, IT customers and other technical and non-technical staff and contractors at all levels.…
Skills: Data modeling, Cloud infrastructure, Tableau, Analysis skills, Agile",4.8,Sabree Software Services,"Chantilly, VA",1 to 50 Employees,--,Company - Private,--,--,Unknown / Non-Applicable,0,0,91,134,112.5,Chantilly,-1,0,0,0,0,0,data scientist,na,223
8,Data Scientist,$80.00 - $100.00 Per Hour (Employer est.),"A Bachelor's degree in Data Science, Statistics, Computer Science, Business Analytics, or a closely related field is required. Data science: 4 years (Required).…
Skills: Azure, R, Google Cloud Platform, SQL, Statistical analysis",4.5,Signify Technology,Florida,51 to 200 Employees,2016,Company - Private,HR Consulting,Human Resources & Staffing,$5 to $25 million (USD),1,0,160,200,90.0,Florida,4,0,0,0,0,0,data scientist,na,228
9,Financial Data Scientist,$47K - $76K (Glassdoor est.),"A bachelor’s degree in data science, data analytics, computer science, mathematics, statistics, econometrics, financial engineering, computer or electrical……
Skills: TensorFlow, Statistics, Management, Financial modeling, SAS",2.6,Amherst Holdings,"Costa, WV",1001 to 5000 Employees,1993,Company - Private,Investment & Asset Management,Financial Services,Unknown / Non-Applicable,0,0,47,76,61.5,Costa,27,0,0,0,0,0,data scientist,na,225
10,Data Scientist,$85K - $118K (Glassdoor est.),"Bachelor’s Degree in a relevant field (e.g., Data Science, Statistics, Computer Science, Mathematics, Geography, or other STEM field).…
Skills: R, Tableau, Analysis skills, Machine learning, Technical writing",4.4,Radiance Technologies,"Beavercreek, OH",501 to 1000 Employees,1999,Company - Private,Aerospace & Defense,Aerospace & Defense,Unknown / Non-Applicable,0,0,85,118,101.5,Beavercreek,21,0,0,0,0,0,data scientist,na,208
