-1,Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue
0,Data Scientist,$80K - $123K (Glassdoor est.),"Import and analysis of data to estimate targets associated with disability, mortality, and longevity (and their drivers).…
Skills: R, English, Survival analysis, SQL, Statistical analysis",3.2,PartnerRe,"Charlotte, NC",1001 to 5000 Employees,--,Company - Public,Insurance Carriers,Insurance,Unknown / Non-Applicable
1,Data Scientist I,$80K - $92K (Employer est.),"Expert knowledge of core data science concepts and tools. Applicants are considered for positions without regard to veteran status, uniformed service member……",2.7,Vibrant Emotional Health,Remote,201 to 500 Employees,--,Nonprofit Organization,Civic & Social Services,Nonprofit & NGO,$5 to $25 million (USD)
2,Data Scientist,$110K - $140K (Employer est.),"Utilize machine learning tools to find patterns and subsequently develop prediction tools to be employed. Directly support the Product team through steering……
Skills: Power BI, SQL, Machine learning, UX, UI",3.6,BrandSafway,"Atlanta, GA",10000+ Employees,2017,Company - Private,Construction,"Construction, Repair & Maintenance Services",$5 to $10 billion (USD)
3,Data Scientist,-1,"Demonstrated experience with Natural Language Processing (NLP)/text processing in one or more of the following: text preprocessing and cleaning for downstream……
Skills: Jira, Ontology, Management, JUnit, Multilingual",5,Fusion Innovation,United States,1 to 50 Employees,2016,Company - Private,Information Technology Support Services,Information Technology,Unknown / Non-Applicable
4,Data Scientist,-1,"Data Visualization: Create clear and informative visualizations to communicate complex data findings to both technical and non-technical stakeholders.…
Skills: Clinical research, English, Research, SQL, AWS",3.2,Clario,Remote,5001 to 10000 Employees,1972,Company - Private,Biotech & Pharmaceuticals,Pharmaceutical & Biotechnology,Unknown / Non-Applicable
5,Data Scientist 1,$82K - $127K (Glassdoor est.),"The Data Sciences & Machine Intelligence group in the Advanced Computing, Mathematics, and Data Division at PNNL seeks a multifaceted Data Scientist to join the……
Skills: CI/CD, Data modeling, Node.js, CSS, React",4.2,Pacific Northwest National Laboratory,"Richland, WA",5001 to 10000 Employees,1965,Company - Private,Energy & Utilities,"Energy, Mining & Utilities",$1 to $5 billion (USD)
6,Data Scientist,$60.00 - $70.00 Per Hour (Employer est.),"Provide SME guidance for data science teams on software engineering principles, model deployments, platform capabilities. Big data: 5 years (Required).…
Skills: Azure, Big data, DevOps, Google Cloud Platform, Machine learning",-1,Ideal Source Inc,"Charlotte, NC",-1,-1,-1,-1,-1,-1
7,Data Scientist,$81K - $137K (Glassdoor est.),"Exhibits proficiency in business management and a proven record of applying innovative solutions, design thinking, disruptive innovation, process management……
Skills: Jira, Power BI, Data modeling, Microsoft Access, Data mining",4.9,AMSG,"Fort Eustis, VA",Unknown,2008,Company - Private,Information Technology Support Services,Information Technology,Unknown / Non-Applicable
8,Data Scientist,$63K - $98K (Employer est.),"Bachelor's Degree in Computer Science, Mathematics, or appropriate field may be substituted for one (1) year of experience.…
Skills: Statistics, Computer science, Data structures, Analysis skills, Math",3,CTC Group,"Fort Meade, MD",Unknown,--,Company - Private,--,--,Unknown / Non-Applicable
9,Data Scientist BAH2197,$91K - $134K (Glassdoor est.),"Demonstrated experience collaborating with sponsor staff, IT customers and other technical and non-technical staff and contractors at all levels.…
Skills: Data modeling, Cloud infrastructure, Tableau, Analysis skills, Agile",4.8,Sabree Software Services,"Chantilly, VA",1 to 50 Employees,--,Company - Private,--,--,Unknown / Non-Applicable
10,Data Scientist,$80.00 - $100.00 Per Hour (Employer est.),"A Bachelor's degree in Data Science, Statistics, Computer Science, Business Analytics, or a closely related field is required. Data science: 4 years (Required).…
Skills: Azure, R, Google Cloud Platform, SQL, Statistical analysis",4.5,Signify Technology,Florida,51 to 200 Employees,2016,Company - Private,HR Consulting,Human Resources & Staffing,$5 to $25 million (USD)
11,Financial Data Scientist,$47K - $76K (Glassdoor est.),"A bachelor’s degree in data science, data analytics, computer science, mathematics, statistics, econometrics, financial engineering, computer or electrical……
Skills: TensorFlow, Statistics, Management, Financial modeling, SAS",2.6,Amherst Holdings,"Costa, WV",1001 to 5000 Employees,1993,Company - Private,Investment & Asset Management,Financial Services,Unknown / Non-Applicable
12,Data Scientist,$85K - $118K (Glassdoor est.),"Bachelor’s Degree in a relevant field (e.g., Data Science, Statistics, Computer Science, Mathematics, Geography, or other STEM field).…
Skills: R, Tableau, Analysis skills, Machine learning, Technical writing",4.4,Radiance Technologies,"Beavercreek, OH",501 to 1000 Employees,1999,Company - Private,Aerospace & Defense,Aerospace & Defense,Unknown / Non-Applicable
13,Data Scientist 2,$87K - $119K (Employer est.),"Makes decisions regarding own work methods, occasionally in ambiguous situations, and requires minimal direction and receives guidance where needed.…
Skills: Statistics, SAS, Analysis skills, Data analytics, Python",3.8,Humana,Remote,10000+ Employees,1961,Company - Public,Health Care Services & Hospitals,Healthcare,$10+ billion (USD)
14,Data Scientist II (Analytics),$112K - $157K (Employer est.),"Communicate cross functionally (internally and externally) to design, implement, and enhance marketing products and campaigns.…
Skills: Search engines, Microsoft Excel, Data structures, E-commerce, SQL",3.8,Expedia Group,"Seattle, WA",10000+ Employees,1996,Company - Public,Internet & Web Services,Information Technology,$5 to $10 billion (USD)
15,Data Analyst/Scientist,-1,"5+ years of relevant work experience in data analysis or related field. Continuously monitor and evaluate the effectiveness of data analysis processes and tools……
Skills: Statistics, Power BI, Data mining, Big data, Spark",-1,Zetta Global LLC,"Houston, TX",-1,-1,-1,-1,-1,-1
16,Data Scientist,$110K - $125K (Employer est.),"This position will play a critical role in interacting with engineering and clinical teams, healthcare payer executives, managers, and frontline staff users,……
Skills: TensorFlow, Spark, Laboratory experience, Java, SQL",3.6,Evolent Health,Remote,1001 to 5000 Employees,2011,Company - Public,Health Care Services & Hospitals,Healthcare,$25 to $100 million (USD)
17,Data Scientist,$163K (Employer est.),"Identify and gather data from a variety of sources; analyze data, build models; as well as process the data for analysis. HOURS: 40 hours per week.…
Skills: Oracle, XML, DB2, J2EE, Java",2,Oncorre,"Bridgewater, NJ",Unknown,--,Company - Private,Software Development,Information Technology,Unknown / Non-Applicable
18,Senior Data Analyst,$130K - $145K (Employer est.),"You will scrub, validate, and develop databases of master data. You will develop and maintain company-wide KPIs and dashboards.…
Skills: Tableau, SQL, Data analytics, Data visualization, Python",2.6,Truepill,Remote,501 to 1000 Employees,2016,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable
19,Data Scientist,$80K - $160K (Employer est.),"HS diploma or GED and 19+ years of experience in data science or computer science OR Bachelor’s degree and 12+ years of experience in computer science or……
Skills: Statistics, Computer science, MATLAB, Image processing, Azure",4.6,"C-Star Solutions, LLC","Springfield, VA",501 to 1000 Employees,2008,Unknown,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable
20,Data Scientist,-1,"Design and develop predictive models, Client algorithms, statistical analyses and feature engineering to solve complex problems for hardware feedback, ease of……
Skills: TensorFlow, Statistics, Computer science, Oracle, Kubernetes",3.8,NTT DATA,"Warren, NJ",10000+ Employees,1967,Company - Public,Information Technology Support Services,Information Technology,$10+ billion (USD)
21,Data Scientist,$75K - $118K (Glassdoor est.),"The Customer applies technical resources to accelerate the timely, reliable, and secure delivery of open source data, information, and insights.…
Skills: Lucene, Search engines, Ansible, DevOps, NoSQL",-1,J5 Consulting,"Reston, VA",Unknown,--,Company - Private,Insurance Agencies & Brokerages,Insurance,Unknown / Non-Applicable
22,Data Scientist,-1,"Identify and use appropriate advanced analytic tools, technologies and platforms to execute analysis against business requirements, including the ability to……
Skills: Statistics, Computer science, Management, NoSQL, Java",-1,"Sysco Payroll, Division of Sysco Resources Services, LLC","Houston, TX",-1,-1,-1,-1,-1,-1
23,Entry-level Data Scientist,$72K - $148K (Employer est.),"Bachelor’s Degree in Marine, Mechanical, or related engineering field. Provide engineering and physical insight into mechanical and marine systems for a data……
Skills: Signal processing, Data analysis skills, Analysis skills, Machine learning, Python",4,CACI,"Bethesda, MD",10000+ Employees,1962,Company - Public,Aerospace & Defense,Aerospace & Defense,$5 to $10 billion (USD)
24,Data Scientist,$110K - $200K (Employer est.),"3+ years of experience in working in the field of data analysis or 2+ years of experience in data science building ML models.…
Skills: TensorFlow, Software deployment, R, Data analysis skills, Databases",3.8,"Ingenio, LLC",Remote,201 to 500 Employees,2013,Company - Private,Internet & Web Services,Information Technology,$5 to $25 million (USD)
25,Senior Data Scientist - Economy,$140K - $170K (Employer est.),"We value diversity in our workplace and encourage all qualified applicants regardless of race, color, age, sex, religion, national origin, physical or mental……
Skills: Big data, Customer segmentation, Analysis skills, Data science",4.9,ProFocus,Oregon,51 to 200 Employees,2013,Company - Private,Information Technology Support Services,Information Technology,$5 to $25 million (USD)
26,"Senior Data Scientist, Analytics Hub Team",$160K - $190K (Employer est.),"We believe in the life-changing impact youth sports have on and off the field because they encourage leadership, teamwork, responsibility, and confidence……
Skills: TensorFlow, Relational databases, Software deployment, Spark, R",4,GameChanger,United States,51 to 200 Employees,2009,Company - Public,Computer Hardware Development,Information Technology,Unknown / Non-Applicable
27,Data Scientist,$89K - $118K (Employer est.),"You possess a strong drive to learn and excel in solving complex problems using data-driven tools and algorithms. Evidence of innovative problem-solving skills.…
Skills: TensorFlow, Statistics, Microsoft Excel, SQL, Machine learning",3.6,WEX Inc.,"Portland, ME",1001 to 5000 Employees,1983,Company - Public,Investment & Asset Management,Financial Services,$1 to $5 billion (USD)
28,Data Scientist,$123K - $180K (Employer est.),"Knowledge of big data technologies and vaticinate methodologies. As a Data Scientist, you will be responsible for analyzing complex datasets to provide valuable……
Skills: Big data, Tableau, SQL, AWS, Redshift",-1,Hubcom,"Beverly Hills, CA",-1,-1,-1,-1,-1,-1
29,Associate Performance Data Scientist,$66K - $70K (Employer est.),"As needed, assist with developing and validating new algorithms, analysis tools, and predictive models. The associate develops tools to optimize performance……
Skills: Cloud infrastructure, R, HIPAA, SQL, AWS",2.7,United States Olympic & Paralympic Committee,Remote,501 to 1000 Employees,1894,Nonprofit Organization,Sports & Recreation,"Arts, Entertainment & Recreation",$100 to $500 million (USD)
