Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Size,hourly,employer_provided,min_salary,max_salary,avg_salary,job_state,python_yn,R_yn,spark,aws,excel
Data Scientist,$80K - $123K (Glassdoor est.),"Import and analysis of data to estimate targets associated with disability, mortality, and longevity (and their drivers).…
Skills: R, English, Survival analysis, SQL, Statistical analysis",3.2,PartnerRe,"Charlotte, NC",1001 to 5000 Employees,0,0,80,123,101.5,Charlotte,0,0,0,0,0
Data Scientist I,$80K - $92K (Employer est.),"Expert knowledge of core data science concepts and tools. Data science specific experience in AI/ML work, code based analysis and reporting.…",2.7,Vibrant Emotional Health,Remote,201 to 500 Employees,0,0,80,92,86.0,Remote,0,0,0,0,0
Data Scientist,$110K - $140K (Employer est.),"Utilize machine learning tools to find patterns and subsequently develop prediction tools to be employed. Directly support the Product team through steering……
Skills: Power BI, SQL, Machine learning, UX, UI",3.6,BrandSafway,"Atlanta, GA",10000+ Employees,0,0,110,140,125.0,Atlanta,0,0,0,0,0
Data Scientist,$83K - $138K (Glassdoor est.),"Demonstrated experience with Natural Language Processing (NLP)/text processing in one or more of the following: text preprocessing and cleaning for downstream……
Skills: Jira, Ontology, Management, JUnit, Multilingual",5.0,Fusion Innovation,"Tysons Corner, VA",1 to 50 Employees,0,0,83,138,110.5,Tysons Corner,0,0,0,0,0
Data Scientist,$110K - $125K (Employer est.),"This position will play a critical role in interacting with engineering and clinical teams, healthcare payer executives, managers, and frontline staff users,……
Skills: TensorFlow, Spark, Laboratory experience, Java, SQL",3.6,Evolent Health,Remote,1001 to 5000 Employees,0,0,110,125,117.5,Remote,0,0,1,0,0
Financial Data Scientist,$47K - $76K (Glassdoor est.),"A bachelor’s degree in data science, data analytics, computer science, mathematics, statistics, econometrics, financial engineering, computer or electrical……
Skills: TensorFlow, Statistics, Management, Financial modeling, SAS",2.6,Amherst Holdings,"Costa, WV",1001 to 5000 Employees,0,0,47,76,61.5,Costa,0,0,0,0,0
Data Scientist II (Analytics),$112K - $157K (Employer est.),"Communicate cross functionally (internally and externally) to design, implement, and enhance marketing products and campaigns.…
Skills: Search engines, Microsoft Excel, Data structures, E-commerce, SQL",3.8,Expedia Group,"Seattle, WA",10000+ Employees,0,0,112,157,134.5,Seattle,0,0,0,0,1
Data Scientist BAH2197,$91K - $134K (Glassdoor est.),"Demonstrated experience collaborating with sponsor staff, IT customers and other technical and non-technical staff and contractors at all levels.…
Skills: Data modeling, Cloud infrastructure, Tableau, Analysis skills, Agile",4.8,Sabree Software Services,"Chantilly, VA",1 to 50 Employees,0,0,91,134,112.5,Chantilly,0,0,0,0,0
Data Scientist,$63K - $98K (Employer est.),"Bachelor's Degree in Computer Science, Mathematics, or appropriate field may be substituted for one (1) year of experience.…
Skills: Statistics, Computer science, Data structures, Analysis skills, Math",3.0,CTC Group,"Fort Meade, MD",Unknown,0,0,63,98,80.5,Fort Meade,0,0,0,0,0
Data Scientist 2,$87K - $119K (Employer est.),"Makes decisions regarding own work methods, occasionally in ambiguous situations, and requires minimal direction and receives guidance where needed.…
Skills: Statistics, SAS, Analysis skills, Data analytics, Python",3.8,Humana,Remote,10000+ Employees,0,0,87,119,103.0,Remote,1,0,0,0,0
DATA SCIENTIST,$86K - $124K (Glassdoor est.),"Certification Requirements - Epic Cognitive Computing, Alteryx & Python certification using internal training tools expected within 1 year of hire date as well……
Skills: Statistics, Microsoft Excel, Data mining, Spark, R",3.6,TriHealth,"Cincinnati, OH",10000+ Employees,0,0,86,124,105.0,Cincinnati,1,0,1,0,1
Data Scientist,$85K - $118K (Glassdoor est.),"Bachelor’s Degree in a relevant field (e.g., Data Science, Statistics, Computer Science, Mathematics, Geography, or other STEM field).…
Skills: R, Tableau, Analysis skills, Machine learning, Technical writing",4.4,Radiance Technologies,"Beavercreek, OH",501 to 1000 Employees,0,0,85,118,101.5,Beavercreek,0,0,0,0,0
Entry-level Data Scientist,$72K - $148K (Employer est.),"Bachelor’s Degree in Marine, Mechanical, or related engineering field. Provide engineering and physical insight into mechanical and marine systems for a data……
Skills: Signal processing, Data analysis skills, Analysis skills, Machine learning, Python",4.0,CACI,"Bethesda, MD",10000+ Employees,0,0,72,148,110.0,Bethesda,1,0,0,0,0
Data Scientist,$80K - $160K (Employer est.),"HS diploma or GED and 19+ years of experience in data science or computer science OR Bachelor’s degree and 12+ years of experience in computer science or……
Skills: Statistics, Computer science, MATLAB, Image processing, Azure",4.6,"C-Star Solutions, LLC","Springfield, VA",501 to 1000 Employees,0,0,80,160,120.0,Springfield,0,0,0,0,0
Data Scientist,$163K (Employer est.),"Identify and gather data from a variety of sources; analyze data, build models; as well as process the data for analysis. HOURS: 40 hours per week.…
Skills: Oracle, XML, DB2, J2EE, Java",2.0,Oncorre,"Bridgewater, NJ",Unknown,0,0,163,163,163.0,Bridgewater,0,0,0,0,0
Data Scientist,$81K - $137K (Glassdoor est.),"Exhibits proficiency in business management and a proven record of applying innovative solutions, design thinking, disruptive innovation, process management……
Skills: Jira, Power BI, Data modeling, Microsoft Access, Data mining",4.9,AMSG,"Fort Eustis, VA",Unknown,0,0,81,137,109.0,Fort Eustis,0,0,0,0,0
Associate Performance Data Scientist,$66K - $70K (Employer est.),"As needed, assist with developing and validating new algorithms, analysis tools, and predictive models. The associate develops tools to optimize performance……
Skills: Cloud infrastructure, R, HIPAA, SQL, AWS",2.7,United States Olympic & Paralympic Committee,Remote,501 to 1000 Employees,0,0,66,70,68.0,Remote,0,0,0,1,0
Data Scientist,$75K - $118K (Glassdoor est.),"The Customer applies technical resources to accelerate the timely, reliable, and secure delivery of open source data, information, and insights.…
Skills: Lucene, Search engines, Ansible, DevOps, NoSQL",,J5 Consulting,"Reston, VA",Unknown,0,0,75,118,96.5,Reston,0,0,0,0,0
"Supervisor, Data Labeling",$40K - $72K (Glassdoor est.),"Work directly with engineers and Autopilot leadership and own annotation policies that require an understanding of both technical and operational constraints.…
Skills: Jira, Microsoft Excel, Confluence, Kronos, Leadership",3.5,Tesla,"Draper, UT",10000+ Employees,0,0,40,72,56.0,Draper,0,0,0,0,1
"Senior Data Scientist, Analytics Hub Team",$160K - $190K (Employer est.),"Identify and quantify causal relationships to better understand the levers available for driving specific business outcomes.…
Skills: TensorFlow, Relational databases, Software deployment, Spark, R",4.0,GameChanger,United States,51 to 200 Employees,0,0,160,190,175.0,United States,0,0,1,0,0
Data Scientist,$69K - $111K (Glassdoor est.),"Three (3) years post-university experience in advanced analytics in the field of data science, applying scientific data analytics methods preferably to……
Skills: TensorFlow, Computer science, Oracle, Data mining, SAP HANA",3.9,"SWJ TECHNOLOGY, LLC","Greer, SC",Unknown,0,0,69,111,90.0,Greer,0,0,0,0,0
Data Scientist,$84K (Employer est.),"Work as part of a small team and alone on help desk taskings and ticketing data flows, report generation, and dashboard visualization of key performance……
Skills: Microsoft Access, Visual Basic, SAS, Microsoft SQL Server, Technical support",3.6,Chenega Corporation,Virginia,5001 to 10000 Employees,0,0,84,84,84.0,Virginia,0,0,0,0,0
Data Scientist I,$63K - $73K (Employer est.),"As Data Scientist I, you will work closely with cross-functional teams across our family of companies to design, develop, and deploy data-driven solutions on……
Skills: Power BI, Big data, Spark, R, NoSQL",5.0,Prepaid Wireless Wholesale LLC,"Rockville, MD",Unknown,0,0,63,73,68.0,Rockville,0,0,1,0,0
Data Scientist,$110K - $200K (Employer est.),"3+ years of experience in working in the field of data analysis or 2+ years of experience in data science building ML models.…
Skills: TensorFlow, Software deployment, R, Data analysis skills, Databases",3.8,"Ingenio, LLC",Remote,201 to 500 Employees,0,0,110,200,155.0,Remote,0,0,0,0,0
Senior Data Scientist,$105K - $125K (Employer est.),"Familiarity with data processing and management support tools, including MS Office, advanced Excel analysis, and business intelligence tools (e.g., Power BI,……
Skills: Computer science, Power BI, Microsoft Excel, Oracle, Management",3.6,Metropolitan Transportation Authority,"New York, NY",Unknown,0,0,105,125,115.0,New York,0,0,0,0,1
Senior Data Scientist - Economy,$140K - $170K (Employer est.),"Collaborate with data engineering teams to implement data features in production systems. 5+ years in a data science role.…
Skills: Big data, Customer segmentation, Analysis skills, Data science",4.9,ProFocus,Oregon,51 to 200 Employees,0,0,140,170,155.0,Oregon,0,0,0,0,0
Data Scientist (Analytics Center of Excellence),$95K - $139K (Glassdoor est.),"Bachelorâ€™s degree in Computer Science, Statistics, Economics, Engineering, Operations Research, Data Science, Artificial Intelligence or related field is……
Skills: Microsoft Powerpoint, Microsoft Word, Microsoft Excel, Microsoft Access, Big data",3.9,Blue Cross Blue Shield of Michigan,"Detroit, MI",5001 to 10000 Employees,0,0,95,139,117.0,Detroit,0,0,0,0,1
Associate Data Scientist,$39.47 - $66.80 Per Hour (Employer est.),"Bachelor's degree in a technical discipline such as Statistics, Mathematics, Bioinformatics, Computer Science, Engineering, Economics, or related field required……
Skills: Statistics, Management, R, SQL, Machine learning",3.3,UPMC,"Pittsburgh, PA",10000+ Employees,1,0,39,0,19.5,Pittsburgh,0,0,0,0,0
Data Scientist,$100K - $130K (Employer est.),"Excellent Communication: Excellent communication skills with the ability to communicate complex ideas effectively to both technical and non-technical……
Skills: Statistics, R, SQL, C, Communication skills",3.7,Flip Fit,"El Segundo, CA",201 to 500 Employees,0,0,100,130,115.0,El Segundo,0,0,0,0,1
Data Scientist,$89K - $118K (Employer est.),"We are a fast-growing AI team, driving WEX's strategic vision to integrate artificial intelligence into the core of our business. How You’ll Make an Impact.…
Skills: TensorFlow, Statistics, Microsoft Excel, SQL, Machine learning",3.6,WEX Inc.,"Portland, ME",1001 to 5000 Employees,0,0,89,118,103.5,Portland,0,0,0,0,1
Data Scientist,$85K - $125K (Glassdoor est.),"Explains analysis to technical and non-technical audiences of both internal and external customers, including senior leadership and physicians.…
Skills: Computer science, Microsoft Excel, Data mining, R, Data analysis skills",4.1,Blue Cross of Idaho,"Meridian, ID",1001 to 5000 Employees,0,0,85,125,105.0,Meridian,0,0,0,0,1
Data Scientist,$84K - $143K (Employer est.),"Experience with CRM systems like SAP CRM, ServiceNow, and ServiceMax, as well as technical platforms like ABAP, BTP, SAP PI/PO, and BI tools is required.…
Skills: CRM software, Management, SAP CRM, Enterprise software, R",4.1,KLA,"Ann Arbor, MI",5001 to 10000 Employees,0,0,84,143,113.5,Ann Arbor,0,0,0,0,0
Data Scientist,$94K - $130K (Glassdoor est.),"The candidate will develop data science models and AI/ML tools enabling proactive risk monitoring, pattern detection and predictive analytics.…
Skills: Machine learning, Natural language processing, Clinical trials, Regression analysis, Data science",4.0,"Daiichi Sankyo, Inc.","Basking Ridge, NJ",10000+ Employees,0,0,94,130,112.0,Basking Ridge,0,0,0,0,0
Data Scientist (Lending Analytics),$108K - $148K (Glassdoor est.),"Design, develop, and evaluate basic/routine predictive models and algorithms with some complexity. Work under close supervision with some latitude for problem……
Skills: Statistics, Data modeling, SAS, R, Data analysis skills",4.1,Navy Federal Credit Union,"Vienna, VA",10000+ Employees,0,0,108,148,128.0,Vienna,0,0,0,0,0
Data Scientist,$77K - $128K (Glassdoor est.),"Problem-Solving, using data to help the company make decisions, finding patterns and solutions to improve our capabilities, and develop investment strategies.…
Skills: Power BI, Data mining, Big data, R, Tableau",4.0,Michelin,"Woodburn, IN",10000+ Employees,0,0,77,128,102.5,Woodburn,0,0,0,0,0
NGSE Data Scientist,$113K - $153K (Glassdoor est.),"This role interfaces across the organization to answer challenging analytical questions and highlight insights to customers such as revenue generation ideas,……
Skills: Statistics, Computer science, Azure, Data mining, Data structures",4.0,Zoetis,"Parsippany, NJ",10000+ Employees,0,0,113,153,133.0,Parsippany,0,0,0,0,0
"Data Scientist, 1+ Years of Experience",$97K - $145K (Employer est.),"1+ years of experience in quantitative analysis & data science or a related field. BS/BA degree in statistics, mathematics, economics, computer science,……
Skills: Data modeling, Data mining, Social media management, Big data, R",3.5,Snapchat,"Los Angeles, CA",5001 to 10000 Employees,0,0,97,145,121.0,Los Angeles,0,0,0,0,0
Data Scientist,$74K - $118K (Glassdoor est.),"The Data Scientist contributes to the strategic vision and serves as a technical contributor in the implementation and evaluation of advanced data analytics……
Skills: Statistics, Computer science, Azure, Relational databases, DevOps",3.8,The Ohio State University Wexner Medical Center,"Columbus, OH",10000+ Employees,0,0,74,118,96.0,Columbus,0,0,0,0,0
Data Scientist 2,$97K - $131K (Employer est.),"Candidates must live in the immediate area or relocate at their own expense. Connect systems and large data sets across business units and functions to develop……
Skills: SQL, Statistical analysis, Analysis skills, Data analytics",3.8,BOEING,"Dallas, TX",10000+ Employees,0,0,97,131,114.0,Dallas,0,0,0,0,0
Data Scientist (contract),$71.38 Per Hour (Employer est.),"This role will provide support for the manufacturing science and technology team supporting a new clinical/commercial manufacturing site.…
Skills: Tableau, Data management, Data entry, Manufacturing, FDA regulations",4.2,JnJ,"Raritan, NJ",10000+ Employees,1,0,71,0,35.5,Raritan,0,0,0,0,0
Data Scientist,$96K - $144K (Employer est.),"Tracks and reports own progress, dependencies, and challenges diligently. Designs small-scale solutions and collaborates effectively with other technical……
Skills: CI/CD, Power BI, Microsoft Excel, Data mining, Business intelligence",3.9,Western Governors University,Remote,5001 to 10000 Employees,0,0,96,144,120.0,Remote,0,0,0,0,1
Data Scientist,$78K - $112K (Glassdoor est.),"Execute strategy and support applications of statistical analysis, Machine Learning, Computer vision, and AI tools to improve product development, manufacturing……
Skills: Jira, TensorFlow, CI/CD, Computer vision, DevOps",3.8,Magna International Inc.,"Troy, MI",10000+ Employees,0,0,78,112,95.0,Troy,0,0,0,0,0
DATA SCIENCE: SAP Next Talent - Rotational Program (2024 Grads),$101K - $172K (Employer est.),"Hands-on experience with data structures, complexity analysis, and foundation models or LLMs. Knowledge in Python, R, SQL and data science methodologies.…
Skills: TensorFlow, Management, Data structures, R, ERP systems",4.2,SAP,"Palo Alto, CA",10000+ Employees,0,0,101,172,136.5,Palo Alto,1,0,0,0,0
Data Scientist,$83K - $116K (Glassdoor est.),"Collaborates with cross-functional teams of product and process experts, clinical and non-clinical leaders, and C-Suite leaders to develop data science……
Skills: R, SQL, Statistical analysis, Analysis skills, Database management",3.4,Regional One Health,"Memphis, TN",1001 to 5000 Employees,0,0,83,116,99.5,Memphis,0,0,0,0,0
Data Scientist II (Hybrid),$109K - $154K (Glassdoor est.),"Familiar with statistical analysis techniques, such as chi-squared test, t-test, ANOVA, regression analysis, sampling design, and time series; able to draw……
Skills: Power BI, Management, SAS, R, Data analysis skills",3.4,American Medical Association,"Chicago, IL",501 to 1000 Employees,0,0,109,154,131.5,Chicago,0,0,0,0,0
Behavioral Data Scientist,$96K - $169K (Employer est.),"Confer with system users, systems engineers, and mission partners to design, develop and deliver data analytic solutions. Minimum Clearance Required to Start:…
Skills: Data mining, Machine learning, Natural language processing, AI, SPSS",4.0,Parsons,"Springfield, VA",10000+ Employees,0,0,96,169,132.5,Springfield,0,0,0,0,0
Data Scientist I,$82K - $106K (Glassdoor est.),"Cash Forecasting: (1) Quickly develop cash consumer demand and supply operations business expertise; (2) Identify, collect, and process the requisite data; (3)……
Skills: ArcGIS, Microsoft Excel, Azure, Data mining, Relational databases",3.5,NCR Atleos,"Frisco, TX",10000+ Employees,0,0,82,106,94.0,Frisco,0,0,0,0,1
Order To Cash Data Scientist,$85K (Employer est.),"Develop predictive models to forecast cash collections, customer payment behaviors, and bad debt risks. Experience with data visualization tools like Alteryx……
Skills: TensorFlow, Statistical software, Power BI, R, Alteryx",3.2,Hertz,"Oklahoma City, OK",10000+ Employees,0,0,85,85,85.0,Oklahoma City,0,0,0,0,0
Data Scientist I - School of Biomedical Informatics,$62K - $106K (Glassdoor est.),"Master’s degree in health care, management, mathematics, engineering, informatics, or a related field. Apply a variety of methods such as statistical analysis,……
Skills: Statistics, MATLAB, Microsoft Excel, Data mining, XML",3.8,UTHealth Houston,"Houston, TX",5001 to 10000 Employees,0,0,62,106,84.0,Houston,0,0,0,0,1
Data Scientist,$93K - $138K (Glassdoor est.),"Possess a bachelor’s or master’s degree in a quantitative field such as Computer Science, Economics, or Physics.…
Skills: Spark, R, Apache Hive, E-commerce, Customer segmentation",3.5,Global Partners,"Waltham, MA",1001 to 5000 Employees,0,0,93,138,115.5,Waltham,0,0,1,0,0
Actuarial Data Scientist,$90K - $130K (Employer est.),"Present analysis and/or provide technical and non-technical information and explanation to peers, senior staff, and other departments as needed, as well as……
Skills: Microsoft Powerpoint, Workers' compensation law, Power BI, Microsoft Excel, R",3.4,Employers,Remote,501 to 1000 Employees,0,0,90,130,110.0,Remote,0,0,0,0,1
Data Scientist - Risk & Trading (Daily Fantasy Sports),$75K - $150K (Employer est.),"Background in computer science, data science, machine learning, mathematics/statistics, or a similar field with related experience.…
Skills: Statistics, Computer science, Databases, SQL, Machine learning",5.0,Sleeper,United States,Unknown,0,0,75,150,112.5,United States,0,0,0,0,0
Data Scientist,$120K - $160K (Employer est.),"Stay up-to-date, constantly learning about advances in the field, and deliver periodic presentations to internal teams on these developments.…
Skills: Computer science, Big data, Java, AWS, C++",3.7,Norstella,Remote,1001 to 5000 Employees,0,0,120,160,140.0,Remote,0,0,0,1,0
Data Scientist II,$102K - $128K (Glassdoor est.),"Maintain an awareness of trends in the field and research and suggest new methodologies. Degree in Statistics, Operations Research, Applied Mathematics,……
Skills: Statistics, Relational databases, Databases, SQL, Product development",4.1,Cox Automotive,"Atlanta, GA",10000+ Employees,0,0,102,128,115.0,Atlanta,0,0,0,0,0
Data Scientist - TikTok Live,$144K - $240K (Employer est.),"Research data science theories and methodology, improve analysis efficiency and data product tools. The primary role of a Data Scientist is to conduct deep……
Skills: Agency management, R, Data analysis skills, SQL, Analysis skills",3.3,TikTok,"San Jose, CA",10000+ Employees,0,0,144,240,192.0,San Jose,0,0,0,0,0
Data Scientist II,$140K - $161K (Employer est.),"Minimum Requirements: Master’s degree, or foreign equivalent, in Computer Science, Engineering, or closely related quantitative discipline, and one (1) year of……
Skills: TensorFlow, Go, Kubernetes, SAS, Load balancing",3.9,f5,"Seattle, WA",5001 to 10000 Employees,0,0,140,161,150.5,Seattle,0,0,0,0,0
DATA SCIENTIST,$81K - $137K (Glassdoor est.),"Exhibits proficiency in business management and a proven record of applying innovative solutions, design thinking, disruptive innovation, process management……
Skills: Jira, Power BI, Data modeling, Microsoft Access, Data mining",4.9,ADVANCED MANAGEMENT STRATEGIES GROUP(AMSG),"Fort Eustis, VA",Unknown,0,0,81,137,109.0,Fort Eustis,0,0,0,0,0
Data Scientist,$90K - $100K (Employer est.),"They will ensure the appropriate use of analytical tools, so that analysis and reporting is accurate, timely, thorough, and professional.…
Skills: Microsoft Excel, Supply chain, Alteryx, SQL, SQL Server Management Studio",3.6,Southern Glazer’s Wine and Spirits,"Miramar, FL",10000+ Employees,0,0,90,100,95.0,Miramar,0,0,0,0,1
Data Scientist,$104K - $167K (Employer est.),"Ph.D. with 2 years of experience, or M.S. with 5+ years, B.S. with 7+ years of relevant pharma sales & marketing experience, with degree in Computer Sciences,……
Skills: Data mining, Vendor management, Sales, R, Data analysis skills",4.2,Johnson & Johnson,"Titusville, NJ",10000+ Employees,0,0,104,167,135.5,Titusville,0,0,0,0,0
Data Scientist,$37.53 - $53.58 Per Hour (Employer est.),"Must provide own transportation or, in order to operate a state vehicle, you must have a valid driver license. Childbirth, Adoption, and Foster Care leave.…
Skills: Data mining, R, Tableau, SQL, Machine learning",3.9,State of Ohio Jobs,"Columbus, OH",10000+ Employees,1,0,37,0,18.5,Columbus,0,0,0,0,0
Data Scientist,$108K - $192K (Employer est.),"Knowledge of relevant tools in this field such as Hadoop, Hive, Splunk, Spark, Tableau, Excel (Charting and Pivot-Tables), and Power BI.…
Skills: Statistics, Adobe Photoshop, Power BI, Microsoft Excel, Adobe Lightroom",4.2,Adobe,"Seattle, WA",10000+ Employees,0,0,108,192,150.0,Seattle,0,0,1,0,1
Data Scientist,$91K - $120K (Glassdoor est.),"The Data Scientist I will be expected to develop models, using machine learning or incorporating advanced programming to find and analyze data.…
Skills: Power BI, Microsoft Excel, Data mining, Business intelligence, SAS",2.8,Generac Power Systems,"Waukesha, WI",1001 to 5000 Employees,0,0,91,120,105.5,Waukesha,0,0,0,0,1
IT Data Scientist,$115K - $260K (Employer est.),"Conducts end-to-end analysis, including data gathering and requirements specification, processing, analysis, ongoing deliverables, and presentations.…
Skills: CI/CD, Statistics, Computer science, Power BI, Cloud infrastructure",3.9,Costco Wholesale,"Seattle, WA",10000+ Employees,0,0,115,260,187.5,Seattle,0,0,0,0,0
Data Scientist,$89K - $129K (Glassdoor est.),"Proven ability to succeed in collaborative environments with cross-functional stakeholders and also in independent work environments.…
Skills: Power BI, Oracle, Business intelligence, Data analysis skills, Tableau",4.1,Southern Company,"Atlanta, GA",10000+ Employees,0,0,89,129,109.0,Atlanta,0,0,0,0,0
Data Scientist,$44.00 - $66.00 Per Hour (Employer est.),"Technical Skills: Proficiency in programming languages such as Python or R; experience with data manipulation and analysis tools (SQL, Pandas, NumPy); expertise……
Skills: TensorFlow, Computer science, Power BI, Azure, Big data",3.8,Arrowhead Central Credit Union,"Rancho Cucamonga, CA",501 to 1000 Employees,1,0,44,0,22.0,Rancho Cucamonga,1,0,0,0,0
Sr Data Scientist,$120K - $156K (Glassdoor est.),"Staying ahead of the latest advancements in data science techniques, tools, and technologies and applying them to solve complex problems optimally.…
Skills: Jira, TensorFlow, CI/CD, Computer science, Management",3.8,Disney,"Lake Buena Vista, FL",10000+ Employees,0,0,120,156,138.0,Lake Buena Vista,0,0,0,0,0
Data Scientist,$70K - $126K (Glassdoor est.),"2+ years’ experience across data science disciplines including but not limited to: forecasting exploratory data analysis experiment design machine learning……
Skills: MATLAB, Pricing, Management, SAS, C#",4.0,Royal Caribbean Group,"Miami, FL",10000+ Employees,0,0,70,126,98.0,Miami,0,0,0,0,0
Statistician Intermediate,$60K - $94K (Glassdoor est.),"Prior experience in the medical research field is preferred. Support the collaborative team with quality improvement including patient, physician, and practice……
Skills: Statistical software, SAS, R, Research, Stata",4.3,University of Michigan,"Ann Arbor, MI",10000+ Employees,0,0,60,94,77.0,Ann Arbor,0,0,0,0,0
Data Scientist,$52.20 - $60.83 Per Hour (Employer est.),"Requires three years of experience in systems, operations, procedures, research or analysis and a Bachelor's degree in business or public administration,……
Skills: Microsoft Excel, Oracle, R, Data analysis skills, Microsoft SQL Server",3.8,City of Seattle,"Seattle, WA",10000+ Employees,1,0,52,0,26.0,Seattle,0,0,0,0,1
Data Scientist II,$69K - $115K (Employer est.),"Be able to communicate technical concepts to non-technical stakeholders. Within our Financial Services vertical, we provide customers with solutions and……
Skills: Computer science, R, Data analysis skills, Statistical analysis, Machine learning",2.1,Risk Solutions,"Minneapolis, MN",1 to 50 Employees,0,0,69,115,92.0,Minneapolis,0,0,0,0,0
Data Scientist Job,$91K - $150K (Glassdoor est.),"Collaborates with research scientists, process engineers and innovation leaders to apply advanced analytics and quantitative tools to data from R&D and……
Skills: MATLAB, Data mining, SAS, R, Java",3.9,Arkema,"King of Prussia, PA",10000+ Employees,0,0,91,150,120.5,King of Prussia,0,0,0,0,0
Data Scientist,$91K - $128K (Glassdoor est.),"Technical and problem-solving skills with evidence of continuous learning in the analytics field. Statistics: Extensive knowledge of statistical tools,……
Skills: Statistics, Azure, Data mining, Data analysis skills, Google Cloud Platform",4.1,Caterpillar,"East Peoria, IL",10000+ Employees,0,0,91,128,109.5,East Peoria,0,0,0,0,0
Data Scientist,$92K - $133K (Glassdoor est.),"5+ years of experience related work experience using statistics and machine learning to solve complex business problems, experience conducting statistical……
Skills: TensorFlow, Statistical software, Statistics, SAS, Big data",3.6,Huntington Bank,"Columbus, OH",10000+ Employees,0,0,92,133,112.5,Columbus,0,0,0,0,0
Data Scientist,$63K - $98K (Employer est.),"A. Degree: Mathematics, statistics, computer science, data science or field directly related to the position. Designs, develops and implements computational and……
Skills: R, Statistical analysis, Machine learning, Regression analysis, Data science",3.7,US Office of Personnel Management,Remote,1001 to 5000 Employees,0,0,63,98,80.5,Remote,0,0,0,0,0
Data Scientist – Prognostics,$85K - $125K (Glassdoor est.),"3+ years of experience of practicing statistical methods and their accurate application e.g. ANOVA, principal component analysis, correspondence analysis, k……
Skills: MATLAB, Signal processing, Data structures, Spark, R",4.0,Ford Motor Company,"Dearborn, MI",10000+ Employees,0,0,85,125,105.0,Dearborn,0,0,1,0,0
Cybersecurity Data Scientist,$84K - $119K (Employer est.),"As a Cybersecurity Data Scientist, you will develop, maintain, and implement comprehensive information security monitoring programs in large and complex……
Skills: Oracle, SAS, NoSQL, Information security, SQL",4.2,Empower,Colorado,10000+ Employees,0,0,84,119,101.5,Colorado,0,0,0,0,0
Worldwide Secondary Market Data Scientist,$136K - $206K (Employer est.),"Unique position in worldwide sales finance on secondary market analytics team; managing market data and metrics using advanced level of SQL, Python, and R;……
Skills: Data modeling, R, Tableau, Databases, SQL",4.1,Apple,"Cupertino, CA",10000+ Employees,0,0,136,206,171.0,Cupertino,1,0,0,0,0
Data Scientist I,$85K - $115K (Glassdoor est.),"3+ years’ experience in data science or a related field. Bachelor’s degree in computer science, statistics, mathematics, or a related field.…
Skills: Power BI, Data mining, SAS, R, Tableau",2.6,"O'Neil Digital Solutions, LLC","Plano, TX",Unknown,0,0,85,115,100.0,Plano,0,0,0,0,0
Corporate Analytics Data Scientist,$59K - $116K (Employer est.),"Data Management, Research & Analysis: Perform statistical, cost and financial analysis of data extracted from various internal and vendor sources to prepare……
Skills: Microsoft Powerpoint, Microsoft Word, Microsoft Excel, Microsoft Outlook, Process improvement",3.0,Hawaii Medical Service Association,"Honolulu, HI",1001 to 5000 Employees,0,0,59,116,87.5,Honolulu,0,0,0,0,1
Data Scientist,$90K - $136K (Glassdoor est.),"Monitor industry methods, trends, tools, and use cases in the field of DA, machine learning, predictive modeling, and data science, especially as related to……
Skills: Data mining, Relational databases, Data structures, Technical support, Machine learning",3.9,Michigan Farm Bureau Family of Companies,"Lansing, MI",51 to 200 Employees,0,0,90,136,113.0,Lansing,0,0,0,0,0
Data Scientist II,$102K - $145K (Glassdoor est.),"The Data Scientist II has a breadth of expertise in data science methodologies and techniques and can select appropriate tools for accessing and cleansing data,……
Skills: Data mining, SAS, Software deployment, Data structures, R",4.4,Les Schwab,"Bend, OR",5001 to 10000 Employees,0,0,102,145,123.5,Bend,0,0,0,0,0
Data Scientist,$111K - $160K (Glassdoor est.),"Develop your own data analysis tools & techniques and process requests from other groups at Aireon such as systems engineering or test.…
Skills: Jira, TensorFlow, Computer science, MATLAB, Azure",4.1,Aireon,"McLean, VA",51 to 200 Employees,0,0,111,160,135.5,McLean,0,0,0,0,0
"Fraud Analytics and Modeling, Data Scientist",$108K - $175K (Glassdoor est.),"Perform complex analysis and modeling to identify patterns of fraudulent transactions and develop prevention strategies.…
Skills: Management, Analysis skills, Machine learning, Risk management, Computer networking",3.4,Federal Reserve Bank of Boston,"Boston, MA",1001 to 5000 Employees,0,0,108,175,141.5,Boston,0,0,0,0,0
Associate Data Science Analyst-Kumar - Hematology,$75K - $112K (Employer est.),"Bachelor’s degree in a domain-relevant field such as engineering, mathematics, computer science, statistics, physics, data science, health science, or other……
Skills: Data mining, Customer service, Analysis skills, Supervising experience, Machine learning",3.9,Mayo Clinic,"Rochester, MN",10000+ Employees,0,0,75,112,93.5,Rochester,0,0,0,0,0
